(10,10)
(11,10)
(12,10)
(13,10)
(14,10)
(15,10)
(16,10)
(17,10)
(18,10)
(19,10)
(20,10)
(21,10)
(22,10)
(23,10)
(24,10)
(25,10)
(26,10)
(27,10)
(28,10)
(29,10)
(30,10)
(31,10)
(32,10)
(33,10)
(34,10)
(35,10)
(36,10)
(37,10)
(38,10)
(39,10)
(40,10)
(41,10)
(42,10)
(43,10)
(44,10)
(45,10)
(46,10)
(47,10)
(48,10)
(49,10)
(50,10)
(51,10)
(52,10)
(53,10)
(54,10)
(55,10)
(56,10)
(57,10)
(58,10)
(59,10)
(60,10)
(61,10)
(62,10)
(63,10)
(64,10)
(65,10)
(66,10)
(67,10)
(68,10)
(69,10)
(70,10)
(71,10)
(72,10)
(91,10)
(92,10)
(93,10)
(94,10)
(95,10)
(96,10)
(97,10)
(98,10)
(99,10)
(154,10)
(155,10)
(156,10)
(157,10)
(158,10)
(159,10)
(160,10)
(161,10)
(162,10)
(163,10)
(164,10)
(165,10)
(166,10)
(167,10)
(168,10)
(169,10)
(170,10)
(171,10)
(172,10)
(173,10)
(174,10)
(175,10)
(176,10)
(177,10)
(178,10)
(179,10)
(180,10)
(181,10)
(182,10)
(183,10)
(184,10)
(185,10)
(186,10)
(187,10)
(188,10)
(189,10)
(190,10)
(191,10)
(192,10)
(193,10)
(194,10)
(195,10)
(196,10)
(197,10)
(198,10)
(208,10)
(209,10)
(210,10)
(211,10)
(212,10)
(213,10)
(214,10)
(215,10)
(216,10)
(217,10)
(218,10)
(219,10)
(220,10)
(221,10)
(222,10)
(223,10)
(224,10)
(225,10)
(226,10)
(227,10)
(228,10)
(229,10)
(230,10)
(231,10)
(232,10)
(233,10)
(234,10)
(235,10)
(236,10)
(237,10)
(238,10)
(239,10)
(240,10)
(241,10)
(242,10)
(243,10)
(244,10)
(245,10)
(246,10)
(247,10)
(248,10)
(249,10)
(250,10)
(251,10)
(252,10)
(253,10)
(254,10)
(255,10)
(256,10)
(257,10)
(258,10)
(259,10)
(260,10)
(261,10)
(262,10)
(263,10)
(264,10)
(265,10)
(266,10)
(267,10)
(268,10)
(269,10)
(270,10)
(10,11)
(11,11)
(12,11)
(13,11)
(14,11)
(15,11)
(16,11)
(17,11)
(18,11)
(19,11)
(20,11)
(21,11)
(22,11)
(23,11)
(24,11)
(25,11)
(26,11)
(27,11)
(28,11)
(29,11)
(30,11)
(31,11)
(32,11)
(33,11)
(34,11)
(35,11)
(36,11)
(37,11)
(38,11)
(39,11)
(40,11)
(41,11)
(42,11)
(43,11)
(44,11)
(45,11)
(46,11)
(47,11)
(48,11)
(49,11)
(50,11)
(51,11)
(52,11)
(53,11)
(54,11)
(55,11)
(56,11)
(57,11)
(58,11)
(59,11)
(60,11)
(61,11)
(62,11)
(63,11)
(64,11)
(65,11)
(66,11)
(67,11)
(68,11)
(69,11)
(70,11)
(71,11)
(72,11)
(91,11)
(92,11)
(93,11)
(94,11)
(95,11)
(96,11)
(97,11)
(98,11)
(99,11)
(154,11)
(155,11)
(156,11)
(157,11)
(158,11)
(159,11)
(160,11)
(161,11)
(162,11)
(163,11)
(164,11)
(165,11)
(166,11)
(167,11)
(168,11)
(169,11)
(170,11)
(171,11)
(172,11)
(173,11)
(174,11)
(175,11)
(176,11)
(177,11)
(178,11)
(179,11)
(180,11)
(181,11)
(182,11)
(183,11)
(184,11)
(185,11)
(186,11)
(187,11)
(188,11)
(189,11)
(190,11)
(191,11)
(192,11)
(193,11)
(194,11)
(195,11)
(196,11)
(197,11)
(198,11)
(208,11)
(209,11)
(210,11)
(211,11)
(212,11)
(213,11)
(214,11)
(215,11)
(216,11)
(217,11)
(218,11)
(219,11)
(220,11)
(221,11)
(222,11)
(223,11)
(224,11)
(225,11)
(226,11)
(227,11)
(228,11)
(229,11)
(230,11)
(231,11)
(232,11)
(233,11)
(234,11)
(235,11)
(236,11)
(237,11)
(238,11)
(239,11)
(240,11)
(241,11)
(242,11)
(243,11)
(244,11)
(245,11)
(246,11)
(247,11)
(248,11)
(249,11)
(250,11)
(251,11)
(252,11)
(253,11)
(254,11)
(255,11)
(256,11)
(257,11)
(258,11)
(259,11)
(260,11)
(261,11)
(262,11)
(263,11)
(264,11)
(265,11)
(266,11)
(267,11)
(268,11)
(269,11)
(270,11)
(10,12)
(11,12)
(12,12)
(13,12)
(14,12)
(15,12)
(16,12)
(17,12)
(18,12)
(19,12)
(20,12)
(21,12)
(22,12)
(23,12)
(24,12)
(25,12)
(26,12)
(27,12)
(28,12)
(29,12)
(30,12)
(31,12)
(32,12)
(33,12)
(34,12)
(35,12)
(36,12)
(37,12)
(38,12)
(39,12)
(40,12)
(41,12)
(42,12)
(43,12)
(44,12)
(45,12)
(46,12)
(47,12)
(48,12)
(49,12)
(50,12)
(51,12)
(52,12)
(53,12)
(54,12)
(55,12)
(56,12)
(57,12)
(58,12)
(59,12)
(60,12)
(61,12)
(62,12)
(63,12)
(64,12)
(65,12)
(66,12)
(67,12)
(68,12)
(69,12)
(70,12)
(71,12)
(72,12)
(91,12)
(92,12)
(93,12)
(94,12)
(95,12)
(96,12)
(97,12)
(98,12)
(99,12)
(154,12)
(155,12)
(156,12)
(157,12)
(158,12)
(159,12)
(160,12)
(161,12)
(162,12)
(163,12)
(164,12)
(165,12)
(166,12)
(167,12)
(168,12)
(169,12)
(170,12)
(171,12)
(172,12)
(173,12)
(174,12)
(175,12)
(176,12)
(177,12)
(178,12)
(179,12)
(180,12)
(181,12)
(182,12)
(183,12)
(184,12)
(185,12)
(186,12)
(187,12)
(188,12)
(189,12)
(190,12)
(191,12)
(192,12)
(193,12)
